smiles,logP,qed,SAS
"CCn1c(CC2CC[NH2+]CC2)nn(CCO)c1=O",-1.4271,0.716650076,3.859960222
"C=CCn1c(S[C@H](C)C(=O)N2CCC(C)CC2)nnc1-c1ccc(Cl)cc1",4.5236,0.501178083,2.745497454
"CCO[C@H]1C(=O)O[C@H]([C@@H](O)CO)C1=O",-1.7608,0.441573894,4.085910844
"Cc1ccc(-c2nnc(C[NH+](CCO)[C@H]3CCc4ccccc43)o2)cc1",2.10972,0.717526248,3.930487866
"Cc1cc(-n2c(C)cc(C[NH2+][C@H](C)c3ccc(F)c(F)c3)c2C)no1",3.49336,0.751491743,3.745734909
"C[C@@H](NC(=O)Nc1ccn(-c2ncccc2Cl)n1)[C@@H]1CCCO1",2.6097,0.896936847,3.296797874
"COc1cc(S(=O)(=O)N2CCN=C2Cc2ccccc2)ccc1Cl",2.9941,0.810640522,2.343666741
"COc1ccc(OC)c(/C=C2\Oc3cc(OC(=O)c4ccncc4)cc(C)c3C2=O)c1",4.24262,0.334645107,2.51878727
"COc1ccc([C@@H](NC(=O)Nc2cc(C)ccc2Cl)C2CCOCC2)cc1",4.94642,0.729271417,2.596966695
"C[C@H](Cc1cccs1)N(C)C[C@@H]1CCCC[C@@H]1[NH3+]",2.4116,0.87258224,4.054198943
"C[C@H]([NH3+])c1nc2cc(C(F)(F)F)ccc2n1C",1.895,0.822746695,3.315049653
"COc1cccc(CN2CCc3nnc(CCc4ccccc4)n3CC2)c1",3.1302,0.666729068,2.110015385
"O=C(N[C@H]1CCS(=O)(=O)C1)C1CC[NH2+]CC1",-1.7369,0.645282287,4.149956162
"COCC[C@H](C)C(=O)N[C@@H](C)COC",0.8101,0.676564526,2.936499204
"Cc1cc(N(C)C)ccc1NC(=O)c1ccc(CN2CC[NH+](C)CC2)cc1",1.64362,0.851286712,2.898803897
"C[C@H](CNC(=O)[C@H]1CC[NH2+][C@@H]1C)C[NH+]1CCCC1",-1.6108,0.576685416,5.948811613
"CN(C)c1ccc([C@H](CNC(=O)C(=O)Nc2ccccc2C#N)N2CC[NH+](C)CC2)cc1",0.25058,0.579668575,3.623964813
"CCOc1ncnc(S(=O)(=O)CC)c1N",0.2511,0.764218206,2.791968888
"CC[C@@H](NC(=O)N(C)Cc1ccc(-c2ccccc2)cc1)c1ccncc1",5.0413,0.642431971,2.464384654
"O=C(Nc1ccc(-c2nc3ccccc3o2)cc1)[C@H]1CCCN1S(=O)(=O)c1ccc(F)cc1",4.4257,0.450695311,2.586244683
"CC[C@@H](C)CNc1nc2ccc(Cl)cc2s1",4.4077,0.837070589,2.588799239
"Cc1cc(C)c2nc(N3CCN(C(=O)[C@@H]4CCCCN4S(C)(=O)=O)CC3)sc2c1",2.37584,0.739081346,2.906325257
"CCc1nnc(-c2cc3ccccc3n2CC(=O)NC(C)(C)C)o1",3.1684,0.787717875,2.421833263
"CCc1ccc(NC(=O)c2nn(-c3ccc(CC)cc3)ccc2=O)cc1",3.6096,0.74726089,2.022570654
"Cc1ccc(C(=O)N[C@H]2CCC[NH2+][C@H]2C)cc1F",0.97822,0.819948371,3.817035625
"C[C@H](OC(=O)c1nc(C2CC2)n2ccccc12)c1cnc2ccccc2c1",4.6779,0.475726971,2.949809506
"CCCCOc1ccccc1C[C@@H]([NH3+])C(=O)[O-]",-0.2316,0.687621011,3.359961797
"CCC[C@@H]1CN(C(=O)C(=O)Nc2ccc(C)nc2Cl)CCO1",2.00942,0.684798219,2.96730436
"C[C@H]1C(=O)N(c2ccc3c(c2)CCC3)CCN1C(=O)c1ccc(Cl)c(Cl)c1",4.3596,0.716369015,2.731354336
"COC(=O)C1(NC(=O)[C@H]2C[C@H]2c2c(F)cccc2F)CCSCC1",2.6233,0.841265298,3.536271418
"N#CC1(NC(=O)COc2cccc(Cl)c2)CCCC1",2.67138,0.917283254,2.19407202
"COC1CC[NH+](CCNc2nccn(C)c2=O)CC1",-1.1141,0.74730385,3.968277149
"C=CCN(Cc1cccc([N+](=O)[O-])c1)C(=O)Nc1cc(OC)ccc1Cl",4.4769,0.419976941,2.204004489
"Cc1cc(Cl)ccc1OCC(=O)N/N=C/c1ccccn1",2.57252,0.680287858,2.075582082
"O=C1NC(=S)NC(=O)C1=CNc1ccc([N+](=O)[O-])cc1O",0.1271,0.159707354,2.703932689
"Cc1c(C(=O)N2CCOCC2)oc2c1-c1nn(CC(=O)NCc3ccco3)cc1CC2",1.93192,0.675384645,2.845260627
"CCc1ccc(CNC(=O)c2ccc(-c3nccnc3N3CCCCC3)cc2)cc1",4.6263,0.626558549,2.085945711
"COc1ccc([C@H]2C[C@@H](C(F)(F)F)n3nc(C(=O)NC4CCCCC4)cc3N2)cc1OC",4.6231,0.661591299,3.633380403
"CCCc1cc(C(=O)NNC(=O)c2cccc(Br)c2)[nH]n1",2.1995,0.74050863,2.330958353
"O=[N+]([O-])c1c(Nc2ccc(F)c(F)c2)ncnc1Oc1cccc2cccnc12",4.7471,0.367228562,2.418070112
"CC(C)(C)n1ncc2c1CCC[C@H]2NC(=O)CSc1nc2ccccc2o1",4.0652,0.661483078,3.087410052
"Cc1ccc([C@@H](C)NC(=O)N[C@@H](CCO)c2cccs2)cc1",3.54042,0.744714109,2.860821521
"CCN(CC)S(=O)(=O)c1ccc2nc(-c3ccncc3)cc(C(=O)[O-])c2c1",1.6908,0.645769883,2.596313654
"CCCN(CC)c1cc[nH+]c(C(=O)[O-])c1",0.1005,0.707767716,4.106739123
"Cc1ccccc1N1C(=O)C[C@H]([NH+](C2CCCCC2)C2CCCCC2)C1=O",3.17722,0.816593085,3.831933766
"CS(=O)(=O)[C@H]1O[C@H]1c1ccc(Cl)cc1Cl",2.4354,0.772831169,3.42121601
"C[C@H](CSc1ccc(C(=O)N(C)C)cn1)C(=O)[O-]",0.2615,0.732667034,3.27862042
"CCOC(=O)[C@H]1C=C(C#N)O[C@@H](c2ccc(C)cc2)C1",3.0432,0.783751649,3.52716061
"CCC[NH2+]C1CCC(O)(Cc2nc(C)cs2)CC1",1.64112,0.860814664,4.052006376
"O=C1c2ccccc2N[C@H](CSC2=NC=NC3=NC=N[C@@H]32)N1c1ccc(Cl)cc1",3.721,0.794691339,4.110498695
"CCc1nc2ccccc2c(C(=O)NCc2ccc(OC)c(C(=O)OC)c2)c1C",3.83082,0.625191236,2.14746834
"Cc1nn(-c2nncc(-c3ccc(Cl)cc3)n2)c2c1[C@H](c1ccccc1)CC(=O)N2",4.16022,0.520607326,3.169937846
"CC(C)NC(=O)Nc1cccc(C(=O)N(C)Cc2nnc(C3CC3)n2C)c1",2.4946,0.816205452,2.361472531
"Cc1nnccc1C(=O)N[C@H](C)c1ccc(Cl)s1",2.99092,0.931306707,2.917352343
"O=C(NCCCc1nc(-c2ccc(Br)o2)no1)C1CC1",2.5509,0.81601442,2.362621059
"CCOc1cccc(NC(=O)CCc2ccc(N)cc2)c1",3.2388,0.787646912,1.658552082
"COc1ccc(/C=C2/SC(=O)N(CC(=O)Nc3ccc(F)cc3)C2=O)cc1OC",3.5179,0.709012927,2.039885434
"CC(C)N(C)C(=O)[C@H]1CSCN1C(=O)/C=C/SCc1ccco1",2.7948,0.73090462,3.665601498
"CCC1(CC)[C@@H](NC(=O)Nc2ccc(C(=O)NC)cc2)[C@H](C)[C@@H]1OC",3.0074,0.732177212,3.620229776
"Cc1ccc2ncc(C(=O)Nc3ncccc3OCc3ccncc3)n2c1",3.26402,0.581659,2.426998211
"N#Cc1ccnc(N2CCC([NH2+]C[C@@H]3CCCO3)CC2)c1",0.66448,0.899339409,3.868739992
"O=C(Cn1nnn(-c2cccs2)c1=O)OC1CCCCC1",1.3664,0.805600894,2.659429749
"COc1cccc(COc2ccc(OC)cc2CCl)c1",4.0216,0.725739702,1.77478867
"CC[C@H](NC(=O)NCc1c(C)noc1C)c1ccc(OC)cc1",3.25054,0.843359169,2.571275055
"CCc1c(C(=O)Nc2ccc3c(c2)NC(=O)CS3)[nH]c(C)c1C(C)=O",3.38462,0.717404006,2.602785684
"CSc1ccc(/C=c2\sc3ncnn3c2=O)cc1",1.4206,0.670538042,2.490530811
"COc1ccc(C(=O)/C=C(\C)Nc2ccc(F)cc2F)cc1",4.172,0.63927065,1.996713269
"O=C(C=C1CCSCC1)N[C@@H]1CCC[C@H]1Cc1ccccc1",3.9674,0.822551221,3.454757994
"C[C@@H](Sc1nc(/C=C/c2cccs2)n[nH]1)C(=O)N1CCOCC1",2.376,0.839031406,3.39370553
"Cc1cccc(C(=O)N[C@@H](C(=O)N2CCC[C@@H](C)C2)C(C)C)c1",3.00792,0.918305855,2.63728129
"COC(=O)[C@@H](C)Sc1nnc(Nc2cccc(Br)c2)s1",3.6978,0.618511644,2.696096888
"Cc1cnc(C(=O)Nc2ccc(N(C)C3CC[NH+](C)CC3)cc2)cn1",1.15062,0.887608652,3.310010933
"CC(=O)Nc1nc2ccc(NC(=O)NCc3ccccc3)cc2s1",3.5764,0.662075821,1.878018757
"C=CCN1C(=O)/C(=C/c2ccccc2F)S/C1=N\S(=O)(=O)c1cccs1",3.7344,0.542446476,2.68308871
"CC[C@H]1CC(=O)N(Cc2ccccc2C#CCCO)C1",2.179,0.855408152,2.965873927
"COc1ccc(F)cc1C(=O)Nc1nccs1",2.5431,0.911192739,1.865948313
"CC[C@@H](CC(=O)NC1(C(=O)OC)CCSCC1)c1ccccc1",3.1253,0.800981246,3.027424146
"Cc1ccc(C)c(-n2c(SCCCCCO)nc3ccccc3c2=O)c1",4.25724,0.369017613,2.118305581
"CC[C@@H](C)[C@@H]([NH3+])c1ccc(Cl)s1",2.7306,0.780628564,4.044283491
"COc1cccc([C@@H](C)[NH2+]CCOc2ncccc2Cl)c1",2.447,0.79907483,3.458272845
"CC[C@@H]1CCCCN1C(=O)NC1CCN(C(=O)OC(C)(C)C)CC1",3.36,0.823101573,2.67398063
"CCOc1cccc(NC(=O)NCc2ccc(N3CCSCC3)cc2)c1",3.9602,0.779269838,2.052870785
"Cc1cccc(NC(=O)CN2CCN(c3ccc4c(c3)OCCO4)C2=O)n1",2.04192,0.897040869,2.388636613
"C=C(C)C(=O)N[C@H](C)c1nc2ccccc2n1CCC(=O)N1CCCCCC1",3.5823,0.757525043,2.769866799
"CCOC[C@H]1CC[NH+](Cc2ccc(-c3nc4ccccc4s3)o2)C1",2.9976,0.740130388,4.186773826
"CCOC(=O)[C@]1(Cc2cccc(Cl)c2)CCCN(C(=O)c2ccnn2C)C1",3.1017,0.727601485,2.96495717
"Cc1ccc([N+](=O)[O-])cc1NC(=O)C(=O)N1CC[C@H]([NH+]2CCCC2)C1",0.12132,0.473266998,3.994428373
"CCOCCCNC(=O)N[C@@H]1CCC[C@@H](CC)C1",2.681,0.685225607,2.854805037
"O=C(Cc1cccc(F)c1F)Nc1cccc(Br)n1",3.3035,0.86380776,2.154492195
"COc1ccccc1NC(=O)[C@@H]1CCCN(C(=O)Nc2cccs2)C1",3.6393,0.852565843,2.552227384
"C[C@H]1CCC[C@](C#N)([C@]2(O)CCCCC2(C)C)C1",4.03778,0.734387437,4.221271489
"O=C(NCc1ccc([N+]2=CCCC2)cc1)NC1(c2ccc(Cl)cc2)CC1",4.3371,0.725853331,2.971586413
"CCCC(=O)N[C@@H]1CCC[NH+](Cc2ncccc2C)C1",0.85362,0.850648367,4.214481257
"O=C(NCc1cccs1)C1(c2cccc(Cl)c2)CCC1",4.1396,0.868831673,2.176540897
"C[C@H]1CCC[C@H](NC(=O)[C@@H](C)Sc2ncn[nH]2)[C@@H]1C",2.2262,0.832942645,3.597313942
"COc1ccc([C@@H]([NH2+]Cc2ccc(Cl)nc2)c2ccc(F)cc2)cc1",3.7357,0.662921756,3.270860076
"COc1cc(NC(=O)[C@H](C)Sc2ccccc2Cl)cc(OC)c1",4.4765,0.745687948,2.385578661
"CCN1CCC(=NNC(=O)c2ccccc2)CC1",1.8881,0.831604555,2.03971868
"CCCOc1ccc(Br)cc1C[NH+]1CCC([C@@H](C)O)CC1",2.4136,0.820134553,4.05715999
"Cc1cc2n(C[C@H](O)CO[C@H](c3ccccc3)c3ccccc3C)c(=O)c3ccccc3n2n1",4.43314,0.378783852,3.294796707
"CCc1ncc(CN(C)C(=O)Nc2c(C)ccc([N+](=O)[O-])c2C)s1",3.89444,0.634052109,2.657179313
"c1ccc2nc(NCCCc3nc4ccccc4[nH]3)cnc2c1",3.5508,0.540120423,2.159337097
"Cc1c([C@H](C)[NH2+]Cc2cccn2C)cnn1C",0.89162,0.849548172,4.051689129
"CC(=O)N[C@@H](C(=O)NC1COC1)C(C)C",-0.3379,0.696737143,2.656179385
"O=C(Nc1ccccc1F)c1cc2ccccc2c2cccnc12",4.7794,0.51695257,1.852203793
"Cc1ccccc1N1C(=O)/C(=C/c2cccn2-c2cccc([N+](=O)[O-])c2)C([O-])=NC1=S",3.16782,0.269289447,3.001122271
"COCCN1C[C@H](C(=O)N(Cc2cccc(Cl)c2)C(C)C)CC1=O",2.5719,0.755728173,2.718156155
"COc1ccc(NC(=O)N2CCN(C(=O)Cc3csc4ccccc34)CC2)cc1OC",3.8373,0.635303051,2.185108717
"C#CCN(C[C@H]1CCCO1)C(=O)N[C@@H](C)c1cccc([N+](=O)[O-])c1",2.4796,0.492476858,3.27884042
"Cc1cccc(C2=CCN(C(=O)Nc3ccc(C(N)=O)c(Cl)c3)CC2)c1",4.06852,0.823709155,2.234676276
"COCCCN1C(=O)c2ccc(C(=O)Nc3nc(-c4ccc(C)cc4)cs3)cc2C1=O",4.00332,0.43174964,2.17729706
"O=S(=O)(Nc1ccc(N2CCCS2(=O)=O)cc1)c1ccc(F)c(Cl)c1",2.8198,0.843147306,2.279642541
"O=C1/C(=C/c2ccccc2)Oc2c1ccc1c2CN(Cc2cccs2)CO1",4.7164,0.593809278,2.634351923
"CC[C@@H](C)[C@@H](NC(=O)c1cccc(F)c1)C(=O)N=c1[nH]c2ccccc2[nH]1",2.9071,0.640847266,3.324258225
"Cc1c(F)cc(N)cc1S(=O)(=O)N[C@@H](C)C1CC1",1.79312,0.826650066,2.871893947
"Cc1ccc(Cn2ncc3c(N)ncnc32)cc1",1.76522,0.744928232,2.065722822
"CCOC(=O)C(C)(C)c1nc(-c2ccccc2)no1",2.5773,0.788487274,2.26645533
"CCOC(=O)c1sc(/C=C/c2nc3c(s2)CCC3)nc1C",3.74382,0.781981503,2.867685928
"C[C@@H]1CC[C@@H]([NH2+]C2CCC(NS(C)(=O)=O)CC2)c2ccccc21",2.0488,0.887206748,4.147964232
"CN(C)S(=O)(=O)c1ccc(C(=O)N(C(=O)N2CCCCC2)c2ccccc2)cc1",3.1896,0.757064308,2.200138426
"CC[NH2+][C@@H](CC)c1ccccc1OCc1cccc(F)c1",3.4391,0.812182522,3.224233614
"C=CCOC(=O)C1=C(C)N=C2S[C@H](C)C(=O)N2[C@H]1c1ccc(F)cc1",3.2035,0.601939798,3.307341535
"CCC[NH2+][C@]1(C(=O)OCC)CC[C@H](n2cc(Cl)c(C)n2)C1",1.84522,0.82054236,4.590596657
"Cc1cc(NC(=O)CSc2nnc3c4ccccc4n(C)c3n2)ccc1Br",4.31822,0.45717459,2.334315772
"CCOC(=O)c1sc(NC(=O)c2ccc(-n3c(C)nc4ccccc4c3=O)cc2)cc1C",4.49304,0.43547628,2.292380204
"CC#CCC(=O)C1([NH+](CC)CC)CCCC1",1.2064,0.702172052,4.452669105
"O=C(NCCCc1ccccc1)C1CCN(C(=O)[C@@H]2CC(=O)N(c3ccccc3)C2)CC1",3.0271,0.675219616,2.500728337
"O=Cc1ccc(OCc2ccn(-c3cccc(F)c3)n2)cc1",3.4029,0.66421135,2.124798598
"Clc1ccccc1Cn1ccnc1",2.5848,0.713618692,1.867970519
"Cc1[nH]c(=O)c(C(=O)N2CCN(c3ccccc3)C(=O)C2)c(C)c1C",1.78916,0.912920758,2.344221805
"C[C@@H](NC(=O)NC[C@H]1CCCN(c2ncccn2)C1)C1CCOCC1",1.8073,0.855043975,3.207719022
"O=C(NCCS(=O)(=O)c1ccccc1)N1CCC[C@@H]2CCC[C@@H]21",2.4344,0.91800278,2.898427245
"Cc1ccc(-c2cc(NC(=O)C(C)C)c(=O)n(CC(=O)Nc3cccc(C)c3)n2)cc1",3.76034,0.618718991,2.151516942
"Cc1ccc(S(=O)(=O)N2CCN(C(=O)[C@H]3CCCC[C@@H]3C(=O)[O-])CC2)cc1C",0.69264,0.744373873,3.221302908
"CCc1ccc(-c2nc(C(=O)N3CCO[C@H](CC)C3)cs2)cc1",3.6235,0.837509656,2.642730256
"Cc1cc(C)cc(OCC(C)(C)C[NH2+]C2CC2)c1",2.43424,0.821703951,3.36439125
"CCOC(=O)[C@H](F)[C@@]1(O)CCC[NH+](C(C)C)CC1",0.0959,0.725413116,5.186099452
"CCn1cc(/C=C/C(=O)c2ccc3ccccc3c2)cn1",3.9523,0.51566534,2.132036559
"CCC(CC)C(=O)Nc1cnn(-c2ccccc2F)c1",3.3861,0.891085647,2.183117169
"O=C1O[C@H](C(=O)Nc2ccnc3ccnn23)Cc2ccccc21",1.4495,0.731510789,2.968452947
"COCCn1nnnc1[C@@H](C(C)C)N1CCSCC1",1.0654,0.789485904,3.232175091
"O=C(NCCNS(=O)(=O)c1cccc(Cl)c1F)c1cccnc1",1.5824,0.775125127,2.111327033
"Cc1ccc(CNC(=O)NCc2nnc3n2CCC3)s1",1.59362,0.906335518,2.467943382
"C/C=C/C[C@]1(C(=O)[O-])CCN(C(=O)OC(C)(C)C)C1",1.3297,0.732036149,3.612120014
"O=C(N[C@@H](CO)c1ccco1)c1cc(Cl)ccc1OC1CCCC1",3.7178,0.809840923,2.774584704
"Cc1cc(N(C)C)ccc1NC(=O)c1c[nH]c2nccc(Cl)c12",3.84302,0.743360173,2.381573667
"CCOC(=O)c1cccc(NC(=O)c2cn[nH]c2C)c1",2.14712,0.838794932,1.926293268
"CCC(CC)[S@](=O)CCC(=O)[O-]",0.0637,0.612832192,4.39149823
"COCc1ccc(C(=O)N(C)Cc2ccc(Cl)s2)cc1",3.8201,0.814100561,1.991891894
"O=C(CCc1nc2ccccc2c(=O)[nH]1)Nc1cc(Cl)c(Cl)cc1Cl",4.4546,0.611946363,2.174543324
"CC[C@@H](C)NC(=O)c1ccc2c(c1)CCCN2S(C)(=O)=O",1.9271,0.929199941,2.547228473
"COc1ccc(C)cc1-n1nnnc1SCC(=O)Nc1cc(C)cc(C)c1",3.32696,0.645846701,2.167714221
"C[C@H](NC(=O)Cc1ccc[nH]1)C(=O)N1CCCC[C@H]1C",1.4629,0.883577214,3.170832313
"CCOC(=O)[C@H]1CCCN(C(=O)c2cc(C(C)C)n(C)n2)C1",1.9588,0.802111409,2.875975659
"C[C@H]([NH2+]Cc1nc(Cc2ccccc2)no1)[C@@H](C)n1cccn1",1.57,0.725028683,3.937529019
"c1cc(CN2CC[NH+](Cc3ccc4c(c3)OCCO4)CC2)no1",0.3465,0.901741625,3.639854154
"CCCCNC(=O)CCc1c(C)nc2c3ccccc3nn2c1C",3.34824,0.69430562,2.227745926
"O=C(C[C@@H]1C[NH2+]CCO1)N[C@H]1C=CS(=O)(=O)C1",-2.2344,0.637859289,4.837947935
"C[C@@H]1CCO[C@@H]1C(=O)N1CC[C@H](C(N)=O)c2ccccc21",1.4172,0.903394812,3.6623937
"CCC[NH2+][C@H](Cc1nn(C)c2ccccc12)c1ncc[nH]1",1.5536,0.727857679,3.960993854
"CC(C)c1noc(-c2cc[nH+]c(N3CCN(C(=O)[C@H]4C[C@H]4C)CC3)c2)n1",1.9787,0.84158396,4.096947012
"O=C(NCc1cccnc1)NCc1ccnc(OCC(F)F)c1",2.1199,0.821681597,2.354917395
"C[C@@H](NC(=O)N1CCCCCCC1)[C@@H]1CCCO1",2.5296,0.821129757,2.872274737
